Name,Statut,Nature,Saveur (x/10),Paires
Randy,Intégré,Véritable,7,
Bobo,Intégré,Véritable,8,
Ba-Bing Baa,Intégré,Joke,5,
Marchal,Intégré,Véritable,6,
Lulu,Intégré,Véritable,4,
Loupi,Intégré,Véritable,5,
Lubie,Intégré,Véritable,4,
Bilbo,Intégré,Référence,8,1
Ori,Intégré,Référence,6,1
Nori,Intégré,Référence,7,1
Oin,Intégré,Référence,6,1
Baltrug,Intégré,Véritable,9,
Juju,Intégré,Véritable,5,
Sylvain,Intégré,Véritable,6,
Bware,Intégré,Véritable,8,
Timi,Intégré,Véritable,5,
Tintin,Intégré,Référence,5,2
Milou,En Attente,Référence,6,2
Beba,Intégré,Véritable,6,
Marjo,Intégré,Véritable,6,
Nana,Intégré,Véritable,4,
Nunu,Intégré,Véritable,4,
Toupie,Intégré,Véritable,6,
Zeus,Intégré,Référence,6,
Oran,Intégré,Véritable,6,
Flute,Intégré,Véritable,7,
Roro,Intégré,Véritable,7,
Calou,Intégré,Véritable,7,
Jujube,Intégré,Véritable,8,
Doop,Intégré,Véritable,7,
Pipo,Intégré,Véritable,7,
Banjo,Intégré,Véritable,8,
Crouta,Intégré,Véritable,9,3
Simpli,Intégré,Véritable,9,3
Rouge,Intégré,Véritable,7,
Gaston,Intégré,Véritable,6,
Bouba,Intégré,Véritable,8,
Momo,Intégré,Véritable,8,
Dingo,Intégré,Référence,6,
Memo,Intégré,Véritable,7,
Nemo,Intégré,Référence,6,
Gil,Intégré,Véritable,5,
Runo,Intégré,Véritable,8,
Blug,Intégré,Véritable,8,
Merlin,Intégré,Référence,6,
Puck,Intégré,Véritable,7,
Sam,Intégré,Véritable,6,
Froufrou,Intégré,Véritable,7,
Bougre,Intégré,Véritable,9,
Pom,Intégré,Véritable,8,
Pong,Intégré,Véritable,7,
Bim,Intégré,Véritable,8,
Navi,Intégré,Référence,5,
Rosa,Intégré,Véritable,5,
Falcor,Intégré,Référence,6,
Ralf,Intégré,Véritable,7,
Boum,Intégré,Véritable,8,
Squiggle,Intégré,Véritable,5,
Deekay,Intégré,Référence,5,
Mod,Intégré,Véritable,5,
Woodbob,Intégré,Joke,7,
Planche,Intégré,Véritable,8,
Atos,Intégré,Référence,7,4
Portos,Intégré,Référence,8,4
Aramis,Intégré,Référence,6,4
Lario,Intégré,Référence,7,5
Muigi,Intégré,Référence,8,5
Aran,Intégré,Véritable,6,
Phong,Intégré,Référence,6,6
Perlin,Intégré,Référence,7,6
Worley,En Attente,Référence,5,6
Clyde,Intégré,Référence,6,
Pinky,Intégré,Référence,6,
Binky,Intégré,Référence,5,
Banksy,Intégré,Référence,5,
Jojo,Intégré,Véritable,7,
Jos,Intégré,Véritable,6,
Joe,Intégré,Véritable,6,
Louie,Intégré,Véritable,8,
Ptr,Intégré,Véritable,7,
Pepto,Intégré,Référence,9,
Oasis,Intégré,Véritable,6,
Buster,Intégré,Véritable,5,
Boul,Intégré,Véritable,7,
Poros,Intégré,Véritable,6,
Goumba,Intégré,Référence,8,
Timon,Intégré,Référence,7,
Pumba,Intégré,Référence,6,
Jegs,Intégré,Véritable,6,
Sisi,Intégré,Véritable,4,
Oumba,Intégré,Véritable,6,
Chouchou,Intégré,Véritable,5,
Ecto,Intégré,Véritable,6,
Proto,Intégré,Véritable,7,
Soka,Intégré,Véritable,6,
Toa,Intégré,Véritable,7,
Tao,Intégré,Véritable,7,
Esope,Intégré,Véritable,6,
Platon,Intégré,Référence,6,
Jacques Cartier,Intégré,Joke,2,
Bistro,Intégré,Véritable,4,
Gimli,Intégré,Référence,7,
Poirot,Intégré,Véritable,8,
Celeri,Intégré,Véritable,8,
Pomkin,Intégré,Véritable,7,
Grabel,Intégré,Véritable,6,
Spoutnik,Intégré,Référence,7,
Spirou,Intégré,Référence,6,7
Fanta,Intégré,Référence,7,7
Picsou,Intégré,Référence,6,
Snoro,Intégré,Véritable,6,
Kerbal,Intégré,Référence,8,
Gomez,Intégré,Référence,8,
Hodor,Intégré,Référence,6,
Canelle,Intégré,Référence,6,8
Pruneau,Intégré,Référence,6,8
Onurb,Intégré,Véritable,7,
Potomax,Intégré,Véritable,6,
Horcornor,Intégré,Joke,4,
Goldoche,Intégré,Véritable,5,
Plume,Intégré,Véritable,6,
Paleo,Intégré,Véritable,6,
Mistik,Intégré,Véritable,4,
Bulba,Intégré,Référence,6,
Octo,Intégré,Véritable,7,
Poire,Intégré,Véritable,8,
Ppat,Intégré,Véritable,5,
Ulga,Intégré,Véritable,5,
Sardine,Intégré,Véritable,7,
Mouk,Intégré,Véritable,8,
Algus,Intégré,Référence,6,
Orlandu,Intégré,Référence,7,
Rafa,Intégré,Référence,7,
Ruglia,Intégré,Référence,5,
Odwn,Intégré,Véritable,5,
Haribo,Intégré,Référence,6,
Beigne,Intégré,Véritable,7,
Wiki,Intégré,Référence,6,
Kiwi,Intégré,Véritable,6,
Plouf,Intégré,Véritable,8,9
Denis,Intégré,Véritable,6,9
Maboul,Intégré,Véritable,7,
Grodesh,Intégré,Véritable,6,
Pinson,Intégré,Véritable,6,
Klepto,Intégré,Véritable,7,
Pogo,Intégré,Véritable,7,
Ang,Intégré,Référence,5,10
Korra,Intégré,Référence,6,10
Sokka,Intégré,Référence,7,10
Pingouin,Intégré,Joke,4,
Magoire,Intégré,Véritable,7,
Molu,Intégré,Véritable,7,
Bluche,Intégré,Véritable,9,
Bigre,Intégré,Véritable,8,
Binoeuvre,Intégré,Joke,3,
Zamboni,Intégré,Véritable,6,
